,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
curried mussels,mussels,small onion,small tomato,red chill,fresh basil leaves or 5 curry leaves,turmeric,red chili powder,coriander powder,coconut milk,salt to taste,cooking oil,mussels,small onion,small tomato,red chill,fresh basil leaves or 5 curry leaves,turmeric,red chili powder,coriander powder,coconut milk,salt to taste,cooking oil,mussels,small onion,small tomato,red chill,fresh basil leaves or 5 curry leaves,turmeric,red chili powder,coriander powder,coconut milk,salt to taste,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french beans with coconut,french  beans,small onion,small tomato,jeera seeds or cummin seeds,mustard seeds,curry leaves,red chilli powder,salt to taste,turmeric powder or haldi,hing or asafetida powder,salt to taste,cooking oil,grated coconut,water,french  beans,small onion,small tomato,jeera seeds or cummin seeds,mustard seeds,curry leaves,red chilli powder,salt to taste,turmeric powder or haldi,hing or asafetida powder,salt to taste,cooking oil,grated coconut,water,french  beans,small onion,small tomato,jeera seeds or cummin seeds,mustard seeds,curry leaves,red chilli powder,salt to taste,turmeric powder or haldi,hing or asafetida powder,salt to taste,cooking oil,grated coconut,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken fried rice,"peppers(different colors), cut into small squares",button mushrooms chopped,bunch of scallions or spring onions,soy sauce,red chilli sauce,ketchup,carrots chopped,cooking oil,eggs,black pepper,salt to taste,white basmati rice ( cooked),chicken cut into small pieces,"peppers(different colors), cut into small squares",button mushrooms chopped,bunch of scallions or spring onions,soy sauce,red chilli sauce,ketchup,carrots chopped,cooking oil,eggs,black pepper,salt to taste,white basmati rice ( cooked),chicken cut into small pieces,"peppers(different colors), cut into small squares",button mushrooms chopped,bunch of scallions or spring onions,soy sauce,red chilli sauce,ketchup,carrots chopped,cooking oil,eggs,black pepper,salt to taste,white basmati rice ( cooked),chicken cut into small pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter chicken skinny,butter,chicken boneless( cut in cubes),ginger garlic paste,low fat yogurt,kasturi methi or fenugreek leaves,turmeric,red chilli powder,small onion,tomato,green chilli,cream( to garnish),butter,chicken boneless( cut in cubes),ginger garlic paste,low fat yogurt,kasturi methi or fenugreek leaves,turmeric,red chilli powder,small onion,tomato,green chilli,cream( to garnish),butter,chicken boneless( cut in cubes),ginger garlic paste,low fat yogurt,kasturi methi or fenugreek leaves,turmeric,red chilli powder,small onion,tomato,green chilli,cream( to garnish),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobster curry,lobster,sliced coconut,garlic pods,pieces of ginger,pepper corns,cloves,kashmiri chillies,cumin seeds or jeera,salt to taste,water,small onion,lobster,sliced coconut,garlic pods,pieces of ginger,pepper corns,cloves,kashmiri chillies,cumin seeds or jeera,salt to taste,water,small onion,lobster,sliced coconut,garlic pods,pieces of ginger,pepper corns,cloves,kashmiri chillies,cumin seeds or jeera,salt to taste,water,small onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palak paneer,spinach (palak),cottage cheese (paneer),onion,tomato,garlic cloves,green chilles,ginger paste,cumin seeds (zeera seeds),cloves (laung),cinnamon (dalchini),cardamom (elaichi),turmeric powder (haldi powder),red chilli powder,coriander powder (dhaniya powder),cumin powder (jeera powder),salt,heavy cream,oil,water,spinach (palak),cottage cheese (paneer),onion,tomato,garlic cloves,green chilles,ginger paste,cumin seeds (zeera seeds),cloves (laung),cinnamon (dalchini),cardamom (elaichi),turmeric powder (haldi powder),red chilli powder,coriander powder (dhaniya powder),cumin powder (jeera powder),salt,heavy cream,oil,water,spinach (palak),cottage cheese (paneer),onion,tomato,garlic cloves,green chilles,ginger paste,cumin seeds (zeera seeds),cloves (laung),cinnamon (dalchini),cardamom (elaichi),turmeric powder (haldi powder),red chilli powder,coriander powder (dhaniya powder),cumin powder (jeera powder),salt,heavy cream,oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter chicken,"boneless chicken thighs, cut into stripes",ginger paste,garlic paste,salt,chili powder,garam masala powder,coriander powder,fenugreek leaves,green chilies,cashew nuts,tomatoes,onions,heavy cream,ketchup,sugar,oil,"boneless chicken thighs, cut into stripes",ginger paste,garlic paste,salt,chili powder,garam masala powder,coriander powder,fenugreek leaves,green chilies,cashew nuts,tomatoes,onions,heavy cream,ketchup,sugar,oil,"boneless chicken thighs, cut into stripes",ginger paste,garlic paste,salt,chili powder,garam masala powder,coriander powder,fenugreek leaves,green chilies,cashew nuts,tomatoes,onions,heavy cream,ketchup,sugar,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana shake,banana,klondike or choco-bar  ice cream,sugar,milk,banana,klondike or choco-bar  ice cream,sugar,milk,banana,klondike or choco-bar  ice cream,sugar,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papaya milk shake,papaya,cubes ice,condense milk,skim milk,papaya,cubes ice,condense milk,skim milk,papaya,cubes ice,condense milk,skim milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aloo bhaja,potato (medium size),mustard oil or cooking oil,salt,turmeric powder,potato (medium size),mustard oil or cooking oil,salt,turmeric powder,potato (medium size),mustard oil or cooking oil,salt,turmeric powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
