,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
char siu bao baked buns recipe,2 cups leftover char siu dices,100ml water,1 tbsp. cornstarch,1 tbsp. light soy sauce,1 tbsp. oyster sauce,1 tbsp. hoisin sauce,1 tbsp. sugar,20g flour,100g water,195g bread flour,90g cake flour,6g instant yeast,30g sugar (or reduce to 10g for a salty bun),3g salt (or extra 3g for a salty bun),1 middle size egg,80g milk,"45g unsalted butter, softened under room temperature",2 cups leftover char siu dices,100ml water,1 tbsp. cornstarch,1 tbsp. light soy sauce,1 tbsp. oyster sauce,1 tbsp. hoisin sauce,1 tbsp. sugar,20g flour,100g water,195g bread flour,90g cake flour,6g instant yeast,30g sugar (or reduce to 10g for a salty bun),3g salt (or extra 3g for a salty bun),1 middle size egg,80g milk,"45g unsalted butter, softened under room temperature",1 egg whisked + 1 tbsp. water,1 teaspoon roasted sesame seeds,1 tablespoon melted unsalted butter,,,,,,,,,
chinese bbq pork buns,2 cups leftover char siu dices,100ml water,1 tbsp. cornstarch,1 tbsp. light soy sauce,1 tbsp. oyster sauce,1 tbsp. hoisin sauce,1 tbsp. sugar,300g all purpose flour,40g sugar,2 tsp. sugar tolerant instant yeast,160g warm water (or 180ml to 185ml warm milk),2 tbsp. vegetable oil (corn oil),a tiny pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy char siu with hoisin sauce,600g pork butt (tenderloin and pork belly can also work),2 tbsp. hoisin sauce,2 tbsp. light soy sauce,1 tbsp. oyster sauce,1 tbsp. Chinese cooking wine or rose wine,1 tbsp. honey,¼ tsp. Chinese five spice powder,"2 garlic, sliced","1 thumb ginger, sliced",1 tbsp. honey,½ tbsp. previous made char siu sauce,½ tbsp. hot water,sesame oil for brushing (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy spring roll wrappers,200g all-purpose flour,300ml water + 20ml more if necessary,½ tsp. salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese braised chicken,1 chicken (1 to 1.5kg),2 tsp. salt,¼ tsp. Chinese five spice powder,1 tbsp. light soy sauce,1 thumb ginger,2 green onions,1 tbsp. Chinese cooking wine,½ cup dark soy sauce,2 tbsp. rock sugar,2 star anises,2 bay leaves,1 tbsp. salt,1 bark Chinese cinnamon (break into small sections),½ tsp. Sichuan peppercorn,Water as needed,1 tbsp. honey,½ tbsp. water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft fried shrimp,200g shrimp,⅓ cup + 3 tbsp. cornstarch,"1 small egg, around 50g",pinch of salt,¼ tsp. white pepper,oil for frying,salt and pepper for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mala chicken,4 chicken thighs,cook oil for frying,1 and 1/2 cup of chili peppers,1 and 1/2 tbsp. Sichuan peppercorn,"1 root ginger, sliced",2 cloves garlic,"2 scallions, white part and green part separated andcut into small sections",1 tsp. sugar,"1 tbsp. sesame seeds, or as needed",pinch of salt,1 tbsp. soy sauce,1 tbsp. rice wine,¼ tsp. white pepper powder,2 tsp. cornstarch (optional),small pinch of salt,4 chicken thighs,cook oil for frying,1 and ½ cup of chili peppers,1 and ½ tbsp. Sichuan peppercorn,"1 root ginger, sliced",2 cloves garlic,"2 scallions, white part and green part separated andcut into small sections",1 tsp. sugar,"1 tbsp. sesame seeds, or as needed",pinch of salt,1 tbsp. soy sauce,1 tbsp. rice wine,¼ tsp. white pepper powder,2 tsp. cornstarch (optional),small pinch of salt,,,,,,,,,,,,,,,,
chinese eggplants with garlic sauce,2 long tender Asian eggplants,pinch of salt for salty water,3 tbsp. cooking oil + ½ tbsp. if needed,"3-4 cloves garlic, minced","1 green pepper, cut into small pieces",1 tbsp. light soy sauce,½ teaspoon sugar,1 tsp. salt or to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tofu soup,1 box tofu (either soft or firm),250g Bok Choy,1 tsp. salt,½ tbsp. sesame oil,"1 thumb ginger, shredded",2.5 L water,6 long green chili peppers,2-3 red Thai peppers,3 garlic cloves,1 scallion white,"⅓ cup of oil, heated until boiling",1 tablespoon light soy sauce,1 tsp. salt,1 tsp. sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and sour crispy tofu,One box of firm tofu (around 300g),½ cup of cooking oil for frying,"1 clove garlic, minced",1 teaspoon minced ginger,"1 scallion white, minced","1 scallion green part, minced for garnishing",2 tbsp. ketchup,6 tbsp. water,½ tbsp. corn starch,½ tbsp. sugar,½ tbsp. light soy sauce,½ tbsp. vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan green beans,"400g fresh green beans, ends removed and cut into 8cm long sections",2 cups of oil for frying,2 teaspoons light soy sauce,pinch of salt,1 tablespoon Szechuan Ya Cai (skip it if this is unavailable),"2 garlic cloves, minced",½ tablespoon minced ginger,6-7 Szechuan peppercorns,"3-5 dried chili peppers, cut into sections",Minced pork and marinate,⅓ cup minced pork (possibly with some fat),1 teaspoon cornstarch,½ tablespoon light soy sauce,pinch of salt,½ tablespoon minced ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried shiitake mushrooms %e5%b9%b2%e9%a6%99%e8%8f%87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese herbal soup ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbal chicken soup,"1 organic chicken, either plain chicken or black bone chicken",3L water,1 small thumb ginger,salt to taste,2 tbsp. goji berries,3 red dates,2 honey dates,5 pieces codonopsis (20g),3 slices Chinese wild yam (20g),2 tbsp. Astragalus root or 4 pieces (20g),3 pieces Chinese Angelica root (10g),3 pieces Soloman’s seal (10g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed ribs with fermented black beans,"500g (around 1 pound) ribs, cut into one-bite pieces",ginger shreds for decoration,"1 small Thai pepper, cut into small circles (optional)",coriander stems for decoration (optional),⅛ teaspoon white pepper,2 teaspoons sugar,"1 tbsp. fermented black beans(dou-chi), roughly chopped",1 tbsp. minced ginger,"4-6 garlic cloves, finely chopped",1 tbsp. oyster sauce,½ tbsp. light soy sauce,1 tbsp. Chinese cooking wine or rice wine,2 tablespoons cornstarch,2 tablespoons water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt baked chicken,"1 organic small chicken (800g), remove the head and feet",1 and ½ tsp. cooking salt,"2000g sea salt, the amount of salt is very depending on your container","½ tbsp. sand ginger powder, I use freshly grounded","½ tbsp. turmeric powder, work as coloring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mei cai kou rou steamed pork with preserved mustard,800g pork belly (around 2 lbs),"200g moistened preserved mustard (or 5 oz. dried mei cai, soaked and washed thoroughly)",dark soy sauce for coating,1 small thumb ginger,2 green onions,1 tbsp. cooking wine,water as needed,oil for frying,1 tbsp. minced ginger,3 tbsp. light soy sauce,1 tbsp. dark soy sauce,1 tsp. sugar,¼ tsp. Chinese five spice powder (or white pepper),1 tsp. sesame oil,2 star anises,2 bay leaves,1 tsp. Sichuan peppercorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the ultimate guide to wonton soup,60 wonton wrappers,2-3 Bok Choy,1 and ½ cup ground pork,½ cup minced shrimp,¼ tsp. white pepper,½ tsp. salt,1 tbsp. ginger,2 tbsp. chopped scallion,1 tbsp. oyster sauce,1 tsp. sesame oil,1 tbsp. light soy sauce,1 egg,2 tbsp. chili oil or to taste,1 tbsp. light soy sauce,1 tbsp. black vinegar,1 tbsp. sesame oil,1 tsp. minced garlic,2 tsp. chopped scallion,salt to taste,a small pinch of white pepper,¼ tsp. salt,¼ tbsp. white pepper,1 tbsp. chopped scallion,1 cup hot stock,3 cups of water,5g dried seaweed (you can use pieces),2 tbsp. papery dried baby shrimp,1 tsp. minced garlic,1 tsp. salt,¼ tsp. white pepper,½ tbsp. light soy sauce,½ tbsp. sesame oil,chopped scallion,,,,,,,,,,,,,
how to wrap wontons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
