,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Khaman Dhokla ( Non- Fried Snacks ),1 1/2 cups besan (bengal gram flour),1 1/2 tbsp semolina (rava),4 tsp sugar,1 tsp ginger-green chilli paste,1 tsp lemon juice, salt to taste,1 tsp fruit salt,3 tsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til), a pinch of asafoetida (hing),2 to 3 curry leaves (kadi patta),1 tsp chopped green chillies,2 tbsp finely chopped coriander (dhania), green chutney,,,,,,,,,,,,,,,,,,,,,,,
Bateta Chips Nu Shaak ( Gujarati Recipe),"3 cups potatoes , peeled and cut into strips", oil for deep-frying,1 1/2 tbsp oil,3 tbsp cashewnuts (kaju),1/2 tsp cumin seeds (jeera),1 tsp poppy seeds (khus-khus),1 tsp sesame seeds (til),1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1 tsp sugar,1/2 tbsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valor Papdi Nu Shak, Winter Sabzi",2 1/2 cups chopped valor papdi,3 tbsp freshly grated coconut,4 tbsp finely chopped coriander (dhania),1 tsp garlic (lehsun) paste,2 tsp green chilli paste,2 tsp sugar, salt to taste,1 1/2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing), a pinch of baking soda,1 tsp lemon juice, chapatis,,,,,,,,,,,,,,,,,,,,,,,,,
Batata Chips Nu Shaak,"3 cups potatoes ,  cut into strips", oil for deep-frying,1 1/2 tbsp oil,3 tbsp chopped cashewnuts (kaju),1/2 tsp cumin seeds (jeera),1 tsp poppy seeds (khus-khus),1 tsp sesame seeds (til),1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1 tsp sugar,1/2 tbsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oondhiya, Undhiyu, Gujarati Undhiyu Recipe",3 cups chopped fenugreek (methi) leaves, salt to taste,1/2 cup whole wheat flour (gehun ka atta),1/2 cup besan (bengal gram flour),3 tsp ginger-green chilli paste,2 1/2 tsp sugar,1/2 tsp turmeric powder (haldi),1 tsp chilli powder, a pinch soda bi-carb,3 tbsp oil, oil for deep frying,"1 cup baby potatoes , peeled","1 raw banana , cut into 25 mm.  (1”) cubes","3 to 4 brinjal (baingan / eggplant) , small black variety","1 1/4 cups surti papdi (fresh vaal)  ,  stringed and cut into halves","3/4 cup purple yam (kand)  ,  peeled and cut into cubes","3/4 cup yam (suran)  ,  peeled and chopped",1/4 cup fresh toovar (arhar) dana,2 tbsp oil,1/2 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing), a pinch of soda bi-carb, salt to taste,1 cup freshly grated coconut,1/2 cup finely chopped coriander (dhania),1/3 cup finely chopped green garlic (hara lehsun),1 tbsp coriander-cumin seeds  powder,2 tsp ginger-green chilli paste,1 1/2 tsp chilli powder,1 tbsp sugar,1 tbsp lemon juice, salt to taste,3 tbsp finely chopped coriander (dhania),,,,,
Methi Papad,1 cup chopped fenugreek (methi) leaves,"1 cup papad , torn into pieces",1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),2 tsp coriander (dhania) powder,1 tsp chilli powder,2 tsp sugar, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabudana Kheer, Indian Dessert for Fasting",1/2 cup sago (sabudana),4 cups full-fat milk,1/2 cup sugar, a pinch of saffron (kesar) strands,1/2 tsp cardamom (elaichi) powder,1 tbsp ghee,2 tbsp chopped cashewnuts (kaju),1 tbsp chopped raisins (kismis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Mogri Stir Fry,"30 purple radish pods (mogri)  ,  washed and dried",1 1/2 tsp oil,1/4 tsp asafoetida (hing),1/2 tsp mustard seeds ( rai / sarson), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methi Papad ( Gujarati Recipe),1 1/2 tbsp fenugreek (methi) seeds,"1 1/2 cups raw papad , broken into big pieces",2 1/2 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tbsp grated jaggery (gur), salt to taste, rotlis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multigrain Methi Thepla Dough,1 cup whole wheat flour (gehun ka atta),2 tbsp bajra (black millet) flour,2 tbsp jowar (white millet) flour,2 tbsp ragi (nachni / red millet) flour,1/2 cup finely chopped fenugreek (methi) leaves,2 tsp sesame seeds (til),1 tbsp honey,1/2 tsp ginger-green chilli paste,1 tbsp oil,1 tsp flax seeds, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhokla Subzi,1/4 cup green moong dal (split  green gram) soaked for 2 to 3 hours,"2 green chillies , roughly chopped", salt to taste, a pinch of asafoetida (hing),1 tsp fruit salt, oil for greasing,"2 cups ridge gourd (turai) , cut diagonally",1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing), a pinch of soda bi-carb, salt to taste,1 cup boiled sweet corn kernels (makai ke dane),1/2 cup finely chopped coriander (dhania),"3 green chillies , roughly chopped",1/2 tsp lemon juice,1/4 cup finely chopped coriander (dhania),2 tbsp grated coconut,1 tsp sugar,1/4 tsp chilli powder,1 tsp coriander (dhania) powder, salt to taste,,,,,,,,,,,,,,,,
"Methi Thepla, Thepla Recipe Without Curds for Traveller",3 cups whole wheat flour (gehun ka atta),1 cup finely chopped fenugreek (methi),1 tsp green chilli paste,2 tsp garlic (lehsun) paste,1/2 tsp ginger (adrak) paste,1 1/2 tsp chilli powder,1 tbsp sugar,1 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp turmeric powder (haldi),1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),3 tbsp oil,1 tbsp sesame seeds (til),2 tbsp besan (bengal gram flour), salt to taste, whole wheat flour (gehun ka atta) for rolling, oil for cooking,,,,,,,,,,,,,,,,,,,,,
Dahiwali Roti,2 cups buttermilk,1 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1 tsp urad dal (split black lentils),"5 leftover chapatis , torn into small pieces",1/4 tsp turmeric powder (haldi),1 tbsp chopped jaggery (gur),1 tsp chilli powder, salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,
